# historical-unverified: copied from 05a2b92; NOT a production configuration.
# Mass/assay/generated-count provenance incomplete. Old vessel mass is invalid for automatic reuse.
# component isotope mass_kg activity_Bq_per_kg generated_events input_file
GEMs U238 18.75 0.0132 1000000 elab_GEMs_U238_t0.root
GEMs Th232 18.75 0.00545 1000000 elab_GEMs_Th232_t0.root
GEMs U235 18.75 0.028000000000000001 1000000 elab_GEMs_U235_t0.root
GEMs K40 18.75 0.063100000000000003 10000000 elab_GEMs_K40_t0.root
GEMs Co60 18.75 0.0023400000000000001 10000000 elab_GEMs_Co60_t0.root
GEMs Cs137 18.75 0.00156 10000000 elab_GEMs_Cs137_t0.root
Lens U238 0.4995 0.00012300000000000001 1000000 elab_Lens_U238_t0.root
Lens Th232 0.4995 4.07e-05 1000000 elab_Lens_Th232_t0.root
Lens K40 0.4995 0.00031 1000000 elab_Lens_K40_t0.root
Vessel U238 1102.24 0.00029599999999999998 10000000 elab_Vessel_U238_t0.root
Vessel Th232 1102.24 5.6900000000000001e-05 10000000 elab_Vessel_Th232_t0.root
Vessel K40 1102.24 7.1199999999999996e-05 10000000 elab_Vessel_K40_t0.root
Rings U238 1114.74 1.2e-5 1000000 elab_Rings_U238_t0.root
Rings Th232 1114.74 4.0999999999999997e-06 1000000 elab_Rings_Th232_t0.root
Rings K40 1114.74 6.0999999999999999e-05 10000000 elab_Rings_K40_t0.root
Rings Co60 1114.74 0.00024000000000000001 10000000 elab_Rings_Co60_t0.root
Rings Cs137 1114.74 0.00029 10000000 elab_Rings_Cs137_t0.root
Cathodes U238 809.7 1.2e-5 1000000 elab_Cathodes_U238_t0.root
Cathodes Th232 809.70000000000005 4.0999999999999997e-06 1000000 elab_Cathodes_Th232_t0.root
Cathodes K40 809.70000000000005 6.0999999999999999e-05 10000000 elab_Cathodes_K40_t0.root
Cathodes Co60 809.70000000000005 0.00024000000000000001 10000000 elab_Cathodes_Co60_t0.root
Cathodes Cs137 809.70000000000005 0.00029 10000000 elab_Cathodes_Cs137_t0.root
Sensors U238 0.13919999999999999 0.0067999999999999996 10000000 elab_Sensors_U238_t0.root
Sensors Th232 0.13919999999999999 0.0051999999999999998 10000000 elab_Sensors_Th232_t0.root
Sensors U235 0.13919999999999999 0.00091 10000000 elab_Sensors_U235_t0.root
Sensors K40 0.13919999999999999 3.5 10000000 elab_Sensors_K40_t0.root
Sensors Cs137 0.13919999999999999 0.00042000000000000002 10000000 elab_Sensors_Cs137_t0.root
